d001.s001.t003 bn:00108977a
d001.s086.t032 bn:00030618n
d001.s086.t033 bn:00096644a
d001.s086.t036 bn:00062699n
d001.s086.t038 bn:00030625n
d001.s086.t042 bn:00021248n
d001.s087.t002 bn:00084931v
d001.s087.t006 bn:00031009n
d001.s087.t009 bn:00023236n
d001.s087.t014 bn:00074900n
d001.s087.t017 bn:00074790n
d001.s087.t019 bn:00016401n
d001.s087.t020 bn:00101268a
d001.s088.t003 bn:00074790n
d001.s088.t005 bn:00016402n
d001.s088.t008 bn:00082596v
d001.s088.t010 bn:00019219n
d001.s088.t013 bn:00031009n
d001.s088.t016 bn:00067162n
d001.s088.t019 bn:00022334n
d001.s088.t021 bn:00030616n
d001.s088.t025 bn:00059480n
d001.s088.t030 bn:00082720v
d001.s088.t032 bn:00001559n
d001.s088.t034 bn:00048242n
d001.s088.t035 bn:00101214a
d001.s088.t038 bn:00105978a
d001.s089.t003 bn:00084595v
d001.s089.t004 bn:00114246r
d001.s089.t005 bn:00080117n
d001.s089.t007 bn:00047238n
d001.s089.t009 bn:00034004n
d001.s089.t010 bn:00048986n
d001.s089.t012 bn:00035770n
d001.s090.t002 bn:00074790n
d001.s090.t003 bn:00107137a
d001.s090.t004 bn:00083187v
d001.s090.t006 bn:00006558n
d001.s090.t009 bn:00067181n
d001.s090.t010 bn:00102440a
d001.s090.t015 bn:00094585v
d001.s090.t017 bn:00061054n
d001.s090.t018 bn:00103507a
d001.s091.t002 bn:00067181n
d001.s091.t005 bn:00067163n
d001.s091.t007 bn:00031009n
d001.s091.t009 bn:00092023v
d001.s091.t011 bn:00046516n
d001.s091.t014 bn:00088630v
d001.s091.t016 bn:00076794n
d001.s091.t018 bn:00007785n
d001.s091.t021 bn:00021721n
d001.s091.t024 bn:00084714v
d001.s091.t026 bn:00097396a
d001.s091.t027 bn:00007406n
d001.s092.t002 bn:00036064n
d001.s092.t004 bn:00082486v
d001.s092.t005 bn:00087137v
d001.s092.t007 bn:00017761n
d001.s092.t010 bn:00058511n
d001.s092.t011 bn:00109650a
d001.s092.t014 bn:00001938n
d001.s092.t016 bn:00043267n
d001.s092.t018 bn:00030626n
d001.s092.t020 bn:00041853n
d001.s092.t023 bn:00082596v
d001.s092.t025 bn:00016850n
d001.s093.t002 bn:00082596v
d001.s093.t003 bn:00114246r
d001.s093.t005 bn:00063214n
d001.s093.t007 bn:00061746n
d001.s093.t010 bn:00022352n
d001.s093.t011 bn:00110842a
d001.s093.t013 bn:00086761v
d001.s093.t014 bn:00102398a
d001.s093.t015 bn:00007020n
d001.s093.t018 bn:00064776n
d001.s093.t020 bn:00092783v
d001.s093.t021 bn:00096622a
d001.s093.t022 bn:00058511n
d001.s094.t002 bn:00096000a
d001.s094.t003 bn:00062701n
d001.s094.t006 bn:00049573n
d001.s094.t007 bn:00028016n
d001.s094.t009 bn:00082195v
d001.s094.t011 bn:00031009n
d001.s094.t014 bn:00070206n
d001.s094.t015 bn:00109211a
d001.s094.t017 bn:00109026a
d001.s094.t019 bn:00083173v
d001.s094.t021 bn:00051251n
d001.s094.t023 bn:00115235r
d001.s094.t026 bn:00030618n
d001.s094.t027 bn:00096644a
d001.s095.t002 bn:00049573n
d001.s095.t005 bn:00087881v
d001.s095.t006 bn:00003132n
d001.s095.t009 bn:00067456n
d001.s095.t010 bn:00097223a
d001.s095.t013 bn:00050314n
d001.s095.t016 bn:00082739v
d001.s095.t021 bn:00044396n
d001.s095.t024 bn:00066966n
d001.s095.t027 bn:00067140n
d001.s095.t028 bn:00109071a
d001.s095.t031 bn:00030618n
d001.s095.t032 bn:00096644a
d001.s096.t001 bn:00082596v
d001.s096.t002 bn:00114246r
d001.s096.t003 bn:00100735a
d001.s096.t005 bn:00025966n
d001.s096.t006 bn:00082304v
d001.s096.t008 bn:00070773n
d001.s096.t011 bn:00065800n
d001.s096.t014 bn:00030618n
d001.s096.t017 bn:00027538n
d001.s096.t019 bn:00016851n
d001.s096.t022 bn:00001938n
d001.s097.t002 bn:00049573n
d001.s097.t003 bn:00088078v
d001.s097.t005 bn:00000744n
d001.s097.t009 bn:00046516n
d001.s097.t012 bn:00031009n
d001.s097.t014 bn:00086455v
d001.s097.t017 bn:00035907n
d001.s097.t019 bn:00027538n
d001.s097.t022 bn:00027810n
d001.s097.t023 bn:00109997a
d001.s097.t027 bn:00106058a
d001.s097.t029 bn:00097857a
d001.s097.t030 bn:00014136n
d001.s098.t002 bn:00064914n
d001.s098.t003 bn:00054277n
d001.s098.t005 bn:00085499v
d001.s098.t008 bn:00049573n
d001.s098.t016 bn:00030401n
d001.s099.t001 bn:00000489n
d001.s099.t003 bn:00029763n
d001.s099.t006 bn:00109211a
d001.s099.t007 bn:00103507a
d001.s099.t010 bn:00108977a
d001.s099.t011 bn:00028015n
d001.s099.t013 bn:00092916v
d001.s099.t015 bn:00067181n
d001.s099.t017 bn:00102440a
d001.s099.t019 bn:00031972n
d001.s099.t023 bn:00085042v
d001.s099.t028 bn:00021015n
d001.s099.t030 bn:00028872n
d001.s099.t032 bn:00030627n
d001.s099.t033 bn:00113583a
d001.s099.t038 bn:00100490a
d001.s099.t041 bn:00074790n
d001.s099.t042 bn:00102548a
d001.s099.t045 bn:00084554v
d001.s099.t048 bn:00066562n
d001.s099.t055 bn:00028872n
d001.s100.t003 bn:00099616a
d001.s101.t001 bn:00059945n
d001.s101.t002 bn:00085499v
d001.s101.t004 bn:00064429n
d001.s101.t005 bn:00096387a
d001.s101.t006 bn:00116011r
d001.s101.t009 bn:00088078v
d001.s101.t011 bn:00021751n
d001.s101.t013 bn:00052222n
d001.s101.t016 bn:00072760n
d001.s101.t017 bn:00105120a
d001.s102.t002 bn:00052222n
d001.s102.t005 bn:00100034a
d001.s102.t006 bn:00076037n
d001.s102.t007 bn:00105938a
d001.s102.t009 bn:00088078v
d001.s102.t011 bn:00072214n
d001.s102.t014 bn:00032604n
d001.s102.t018 bn:00082536v
d001.s102.t019 bn:00088640v
d001.s102.t022 bn:00042601n
d001.s103.t002 bn:00052222n
d001.s103.t004 bn:00106431a
d001.s103.t007 bn:00051872n
d001.s103.t011 bn:00032604n
d001.s103.t014 bn:00003057n
d001.s103.t015 bn:00111483a
d001.s103.t018 bn:00065552n
d001.s103.t020 bn:00115030r
d001.s104.t004 bn:00082705v
d001.s104.t005 bn:00096981a
d001.s105.t001 bn:00096758a
d001.s105.t004 bn:00004656n
d001.s105.t006 bn:00082954v
d001.s105.t008 bn:00008567n
d001.s106.t002 bn:00082705v
d001.s106.t004 bn:00015267n
d001.s106.t007 bn:00008467n
d001.s106.t010 bn:00027565n
d001.s106.t014 bn:00106337a
d001.s106.t017 bn:00018141n
d001.s106.t019 bn:00028872n
d001.s106.t020 bn:00113453a
d001.s106.t023 bn:00047235n
d001.s106.t025 bn:00015180n
d001.s106.t031 bn:00084069v
d001.s107.t001 bn:00100060a
d001.s107.t004 bn:00054018n
d001.s107.t005 bn:00097844a
d001.s107.t009 bn:00047235n
d001.s107.t010 bn:00113583a
d001.s107.t013 bn:00027011n
d001.s107.t014 bn:00110995a
d001.s107.t016 bn:00107182a
d001.s107.t018 bn:00082705v
d001.s107.t019 bn:00114246r
d001.s107.t021 bn:00047235n
d001.s107.t023 bn:00027565n
d001.s107.t026 bn:00046787n
d001.s107.t030 bn:00100307a
d001.s107.t032 bn:00052222n
d001.s108.t003 bn:00021961n
d001.s108.t005 bn:00097031a
d001.s108.t008 bn:00082365v
d001.s108.t011 bn:00061605n
d001.s108.t015 bn:00000086n
d001.s109.t002 bn:00095075v
d001.s109.t003 bn:00001570n
d001.s110.t001 bn:00063156n
d001.s110.t002 bn:00083642v
d001.s110.t004 bn:00066514n
d001.s110.t006 bn:00067714n
d001.s110.t009 bn:00086008v
d001.s110.t013 bn:00075762n
d001.s110.t014 bn:00107232a
d001.s110.t015 bn:00099441a
d001.s111.t002 bn:00078798n
d001.s111.t004 bn:00074790n
d001.s111.t007 bn:00084595v
d001.s111.t009 bn:00001570n
d001.s112.t003 bn:00084595v
d001.s112.t005 bn:00098342a
d001.s112.t006 bn:00028515n
d001.s112.t008 bn:00074790n
d001.s112.t010 bn:00020089n
d001.s112.t012 bn:00015267n
d001.s112.t014 bn:00049551n
d001.s112.t018 bn:00061017n
d001.s112.t020 bn:00019820n
d001.s112.t021 bn:00113583a
d001.s112.t024 bn:00023235n
d001.s112.t025 bn:00102440a
d001.s113.t002 bn:00009905n
d001.s113.t004 bn:00082913v
d001.s113.t005 bn:00022921n
d001.s113.t007 bn:00096622a
d001.s113.t008 bn:00074790n
d001.s114.t002 bn:00034520n
d001.s114.t005 bn:00074790n
d001.s114.t006 bn:00092109v
d001.s114.t008 bn:00039640n
d001.s114.t010 bn:00116284r
d001.s114.t011 bn:00102048a
d001.s114.t014 bn:00062717n
d001.s114.t017 bn:00086708v
d001.s114.t018 bn:00116104r
d001.s114.t019 bn:00027565n
d001.s114.t022 bn:00015267n
d001.s114.t024 bn:00089246v
d001.s114.t026 bn:00028872n
d001.s114.t035 bn:00117603r
d001.s114.t037 bn:00047235n
d001.s114.t041 bn:00008467n
d001.s114.t043 bn:00027565n
d001.s115.t002 bn:00047235n
d001.s115.t005 bn:00015267n
d001.s115.t007 bn:00027565n
d001.s115.t009 bn:00085337v
d001.s115.t011 bn:00033729n
d001.s115.t012 bn:00105120a
d001.s115.t015 bn:00004222n
d001.s115.t019 bn:00116360r
d001.s115.t020 bn:00092928v
d001.s115.t022 bn:00100164a
d001.s115.t025 bn:00083115v
d001.s115.t028 bn:00105230a
d001.s116.t003 bn:00022190n
d001.s116.t005 bn:00047235n
d001.s116.t008 bn:00059954n
d001.s116.t010 bn:00082365v
d001.s116.t012 bn:00028872n
d001.s116.t014 bn:00004222n
d001.s116.t016 bn:00021751n
d001.s116.t018 bn:00052222n
d001.s117.t002 bn:00047235n
d001.s117.t004 bn:00027565n
d001.s117.t006 bn:00086753v
d001.s117.t007 bn:00114250r
d001.s117.t009 bn:00006544n
d001.s117.t012 bn:00054018n
d001.s117.t014 bn:00075333n
d001.s117.t017 bn:00047235n
d001.s117.t018 bn:00113583a
d001.s117.t020 bn:00083173v
d001.s117.t021 bn:00114246r
d001.s117.t023 bn:00016850n
d001.s117.t024 bn:00104676a
d001.s118.t004 bn:00021961n
d001.s118.t005 bn:00110248a
d001.s118.t007 bn:00020089n
d001.s119.t003 bn:00055174n
d001.s119.t005 bn:00114215r
d001.s119.t006 bn:00099361a
d001.s119.t009 bn:00082365v
d001.s119.t010 bn:00114917r
d001.s119.t012 bn:00028320n
d001.s119.t016 bn:00019848n
d001.s119.t019 bn:00096548a
d001.s119.t022 bn:00061605n
d001.s119.t024 bn:00077267n
d001.s119.t025 bn:00101795a
d001.s119.t031 bn:00022191n
d001.s119.t032 bn:00106517a
d001.s119.t035 bn:00047235n
d001.s120.t002 bn:00042049n
d001.s120.t004 bn:00082379v
d001.s120.t006 bn:00046516n
d001.s120.t008 bn:00082365v
d001.s120.t010 bn:00028872n
d001.s120.t014 bn:00022112n
d001.s120.t017 bn:00004222n
d001.s121.t001 bn:00111751a
d001.s121.t002 bn:00116360r
d001.s121.t003 bn:00091868v
d001.s121.t005 bn:00030747n
d001.s121.t006 bn:00108295a
d001.s121.t009 bn:00046516n
d001.s121.t010 bn:00104386a
