d001.s001.t002 bn:00028015n
d003.s003.t023 bn:00001961n
d003.s003.t024 bn:00109211a
d003.s003.t026 bn:00001177n
d003.s003.t027 bn:00110842a
d003.s003.t029 bn:00001423n
d003.s003.t030 bn:00113672a
d003.s003.t032 bn:00055393n
d003.s003.t035 bn:00079373n
d003.s003.t036 bn:00070651n
d003.s003.t037 bn:00086341v
d003.s003.t038 bn:00086341v
d003.s004.t001 bn:00016401n
d003.s004.t002 bn:00114784r
d003.s004.t003 bn:00102920a
d003.s004.t005 bn:00007011n
d003.s004.t007 bn:00089893v
d003.s004.t008 bn:00089893v
d003.s004.t009 bn:00079373n
d003.s004.t011 bn:00062794n
d003.s004.t012 bn:00070651n
d003.s004.t013 bn:00092825v
d003.s004.t014 bn:00092825v
d003.s004.t017 bn:00030844n
d003.s004.t020 bn:00064922n
d003.s004.t021 bn:00070651n
d003.s004.t022 bn:00100093a
d003.s004.t023 bn:27166550v
d003.s005.t001 bn:00114246r
d003.s005.t003 bn:00027862n
d003.s005.t004 bn:00036823n
d003.s005.t005 bn:00101350a
d003.s005.t006 bn:00009905n
d003.s005.t007 bn:00109211a
d003.s005.t008 bn:00058145n
d003.s005.t009 bn:27248079v
d003.s006.t002 bn:00036064n
d003.s006.t004 bn:00115794r
d003.s006.t005 bn:00021015n
d003.s006.t006 bn:00102440a
d003.s006.t008 bn:00055180n
d003.s006.t009 bn:00001739n
d003.s006.t010 bn:00110842a
d003.s006.t011 bn:00110978a
d003.s006.t013 bn:00007299n
d003.s006.t014 bn:00109624a
d003.s006.t015 bn:03129836n
d003.s006.t018 bn:00021721n
d003.s006.t019 bn:00102440a
d003.s006.t021 bn:00109650a
d003.s006.t022 bn:00032152n
d003.s006.t023 bn:00110842a
d003.s006.t026 bn:00017557n
d003.s006.t027 bn:00106332a
d003.s006.t029 bn:00070651n
d003.s006.t030 bn:00009905n
d003.s006.t031 bn:00109211a
d003.s006.t034 bn:00085794v
d003.s007.t002 bn:00036064n
d003.s007.t003 bn:00116085r
d003.s007.t005 bn:00067181n
d003.s007.t006 bn:00100121a
d003.s007.t009 bn:00114354r
d003.s007.t010 bn:00027912n
d003.s007.t012 bn:00064665n
d003.s007.t013 bn:15526813n
d003.s007.t014 bn:00084099v
d003.s007.t015 bn:00084099v
d003.s007.t017 bn:00032425n
d003.s007.t018 bn:00030844n
d003.s007.t019 bn:00101412a
d003.s007.t020 bn:13601970v
d003.s007.t021 bn:00014138n
d003.s007.t024 bn:00114216r
d003.s007.t025 bn:00089667v
d003.s007.t026 bn:00037027n
d003.s007.t027 bn:00089511v
d003.s007.t028 bn:00089511v
d003.s007.t030 bn:00082720v
d003.s007.t031 bn:00082720v
d003.s008.t002 bn:00074790n
d003.s008.t004 bn:00083141v
d003.s008.t006 bn:00047238n
d003.s008.t007 bn:00108489a
d003.s008.t009 bn:00036837n
d003.s008.t010 bn:00110401a
d003.s008.t011 bn:00020592n
d003.s008.t012 bn:00110842a
d003.s008.t014 bn:00114354r
d003.s008.t015 bn:00047203n
d003.s008.t016 bn:00001423n
d003.s008.t017 bn:00032501n
d003.s008.t018 bn:00041239n
d003.s008.t019 bn:00107136a
d003.s008.t021 bn:00095923a
d003.s008.t022 bn:00023235n
d003.s008.t023 bn:00102440a
d003.s008.t024 bn:27166550v
d003.s009.t002 bn:00114354r
d003.s009.t003 bn:00070206n
d003.s009.t004 bn:00104680a
d003.s009.t005 bn:00104995a
d003.s009.t007 bn:00046575n
d003.s009.t008 bn:00002936n
d003.s009.t010 bn:00070206n
d003.s009.t011 bn:00008412n
d003.s009.t012 bn:00114246r
d003.s009.t013 bn:00089660v
d003.s009.t014 bn:27248696v
d003.s010.t001 bn:00073170n
d003.s010.t002 bn:00099258a
d003.s010.t004 bn:00021721n
d003.s010.t005 bn:00032152n
d003.s010.t006 bn:00110842a
d003.s010.t008 bn:27248696v
d003.s010.t012 bn:00050521n
d003.s010.t014 bn:00067808n
d003.s010.t016 bn:13106452n
d003.s010.t017 bn:26459699n
d003.s010.t019 bn:00011651n
d003.s010.t020 bn:00030616n
d003.s010.t022 bn:00025569n
d003.s010.t023 bn:00104995a
d003.s010.t025 bn:00001738n
d003.s010.t026 bn:00110842a
d003.s010.t028 bn:00021015n
d003.s010.t029 bn:00102440a
d003.s010.t030 bn:22064839n
d003.s010.t031 bn:02341992n
d003.s010.t034 bn:00025965n
d003.s010.t035 bn:00102158a
d003.s010.t037 bn:00021015n
d003.s010.t038 bn:03359468n
d003.s010.t039 bn:00521380n
d003.s010.t040 bn:27750639n
d003.s010.t042 bn:00034004n
d003.s010.t043 bn:00060708n
d003.s010.t044 bn:00102440a
d003.s010.t045 bn:11108537n
d003.s010.t046 bn:01336282n
d003.s010.t047 bn:00385286n
d003.s010.t048 bn:00385286n
d003.s010.t050 bn:00079435n
d003.s010.t051 bn:00060708n
d003.s010.t052 bn:00102440a
d003.s010.t054 bn:00912132n
d003.s010.t055 bn:25385835n
d003.s010.t057 bn:00021015n
d003.s010.t058 bn:00102001a
d003.s010.t060 bn:00110842a
d003.s011.t001 bn:00074790n
d003.s011.t002 bn:00016401n
d003.s011.t004 bn:00067181n
d003.s011.t005 bn:00107136a
d003.s011.t006 bn:00085499v
d003.s011.t007 bn:00063673n
d003.s011.t009 bn:00114542r
d003.s011.t013 bn:00034797n
d003.s011.t014 bn:00085499v
d003.s011.t017 bn:00098274a
d003.s011.t018 bn:00006382n
d003.s011.t019 bn:00063329n
d003.s011.t021 bn:00061054n
d003.s011.t024 bn:00082573v
d003.s011.t025 bn:00030933n
d003.s011.t027 bn:00041853n
d003.s011.t029 bn:00026695n
d003.s011.t030 bn:00081593n
d003.s011.t031 bn:00082449v
d003.s011.t033 bn:00062699n
d003.s011.t034 bn:00014138n
d003.s011.t036 bn:00021248n
d003.s011.t037 bn:00091868v
d003.s011.t038 bn:00091868v
d003.s012.t003 bn:00023235n
d003.s012.t008 bn:00034797n
d003.s012.t010 bn:00074790n
d003.s012.t011 bn:00016401n
d003.s012.t012 bn:00026418n
d003.s012.t013 bn:00084931v
d003.s013.t002 bn:00074790n
d003.s013.t003 bn:00016401n
d003.s013.t004 bn:00007783n
d003.s013.t005 bn:00034797n
d003.s013.t007 bn:00030709n
d003.s013.t010 bn:00061054n
d003.s013.t011 bn:00030626n
d003.s013.t013 bn:00001423n
d003.s013.t014 bn:00014138n
d003.s013.t016 bn:00082596v
d003.s013.t018 bn:00082596v
d003.s013.t019 bn:00082596v
d003.s013.t021 bn:00037022n
d003.s013.t023 bn:00048242n
d003.s013.t024 bn:00034797n
d003.s013.t026 bn:00082720v
d003.s013.t027 bn:00082720v
d003.s014.t001 bn:00080113n
d003.s014.t003 bn:00047238n
d003.s014.t005 bn:00035770n
d003.s014.t006 bn:00099258a
d003.s014.t007 bn:00114246r
d003.s014.t008 bn:00082906v
d003.s014.t009 bn:27248696v
d003.s015.t002 bn:00074790n
d003.s015.t003 bn:00107136a
d003.s015.t004 bn:00008790n
d003.s015.t006 bn:00067181n
d003.s015.t007 bn:00102440a
d003.s015.t009 bn:00085670v
d003.s015.t010 bn:00095774v
d003.s015.t012 bn:00061054n
d003.s015.t013 bn:00108083a
d003.s015.t015 bn:00094713v
d003.s015.t016 bn:00094713v
d003.s016.t001 bn:00067181n
d003.s016.t003 bn:00012059n
d003.s016.t004 bn:00016401n
d003.s016.t006 bn:00034797n
d003.s016.t008 bn:00078738n
d003.s016.t010 bn:00084099v
d003.s016.t011 bn:00095774v
d003.s016.t013 bn:00007771n
d003.s016.t014 bn:00082779v
d003.s016.t015 bn:00021721n
d003.s016.t017 bn:00084692v
d003.s016.t018 bn:00084692v
d003.s016.t021 bn:00007406n
d003.s016.t023 bn:00082779v
d003.s016.t024 bn:00083181v
d003.s017.t001 bn:00082486v
d003.s017.t003 bn:00036064n
d003.s017.t004 bn:00087137v
d003.s017.t005 bn:00017761n
d003.s017.t006 bn:00008714n
d003.s017.t007 bn:00001936n
d003.s017.t009 bn:00030933n
d003.s017.t011 bn:00041853n
d003.s017.t013 bn:00082596v
d003.s017.t014 bn:00016850n
d003.s017.t016 bn:27166550v
d003.s018.t001 bn:00061746n
d003.s018.t002 bn:00020592n
d003.s018.t003 bn:00110842a
d003.s018.t004 bn:00114246r
d003.s018.t006 bn:00007020n
d003.s018.t007 bn:00102398a
d003.s018.t009 bn:00064776n
d003.s018.t011 bn:00088783v
d003.s018.t012 bn:00008714n
d003.s018.t013 bn:00001936n
d003.s018.t015 bn:00082596v
d003.s018.t016 bn:00083181v
d003.s018.t017 bn:00082596v
d003.s019.t001 bn:00117283r
d003.s019.t003 bn:00064665n
d003.s019.t004 bn:00034797n
d003.s019.t009 bn:00070206n
d003.s019.t010 bn:00109211a
d003.s019.t012 bn:00104973a
d003.s019.t014 bn:00008714n
d003.s019.t015 bn:00008714n
d003.s019.t016 bn:00001936n
d003.s019.t019 bn:00115235r
d003.s019.t021 bn:00081593n
d003.s019.t022 bn:00096644a
d003.s019.t024 bn:00083173v
d003.s019.t026 bn:00087137v
d003.s019.t028 bn:00082720v
d003.s019.t029 bn:00082720v
d003.s020.t002 bn:00090460v
d003.s020.t003 bn:00003132n
d003.s020.t005 bn:00067456n
d003.s020.t006 bn:00101935a
d003.s020.t010 bn:00066743n
d003.s020.t013 bn:00064665n
d003.s020.t015 bn:00025965n
d003.s020.t016 bn:00114714r
d003.s020.t018 bn:00044396n
d003.s020.t020 bn:00092717v
d003.s020.t023 bn:00092953v
d003.s020.t024 bn:00081593n
d003.s020.t025 bn:00096644a
d003.s020.t026 bn:00083240v
d003.s021.t001 bn:00007781n
d003.s021.t002 bn:00037634n
d003.s021.t004 bn:00100762a
d003.s021.t005 bn:00081593n
d003.s021.t007 bn:13606173r
d003.s021.t008 bn:00082868v
d003.s021.t011 bn:00027538n
d003.s021.t012 bn:00001936n
d003.s021.t014 bn:00082596v
d003.s021.t016 bn:00082596v
d003.s022.t002 bn:00064665n
d003.s022.t003 bn:00114246r
d003.s022.t004 bn:00034797n
d003.s022.t007 bn:00083173v
d003.s022.t009 bn:00027538n
d003.s022.t010 bn:00001936n
d003.s022.t012 bn:00005513n
d003.s022.t013 bn:00109998a
d003.s022.t016 bn:00021286n
d003.s022.t017 bn:00106773a
d003.s022.t019 bn:00097857a
d003.s022.t021 bn:00085648v
d003.s022.t022 bn:00085648v
d003.s023.t002 bn:00023235n
d003.s023.t003 bn:00054277n
d003.s023.t005 bn:00085497v
d003.s023.t007 bn:00064665n
d003.s023.t008 bn:13601656v
d003.s023.t010 bn:00009714n
d003.s023.t012 bn:00036202n
d003.s023.t014 bn:00026684n
d003.s023.t016 bn:00030401n
d003.s023.t018 bn:00047705n
d003.s023.t020 bn:00044423n
d003.s023.t022 bn:00013173n
d004.s001.t002 bn:00028015n
d004.s001.t003 bn:00075142n
d004.s001.t005 bn:00067181n
d004.s001.t006 bn:00005120n
d004.s001.t007 bn:00109211a
d004.s001.t008 bn:00031896n
d004.s001.t009 wn:02610777
d004.s002.t002 bn:00087869v
d004.s002.t003 bn:00087869v
d004.s002.t006 bn:00021015n
d004.s002.t007 bn:00064584n
d004.s002.t008 bn:00106556a
d004.s002.t010 bn:00030627n
d004.s002.t011 bn:00079883n
d004.s002.t015 bn:00074790n
d004.s002.t016 bn:00087107v
d004.s002.t018 bn:00082720v
d004.s002.t019 bn:00082720v
d004.s002.t022 bn:00066562n
d004.s002.t025 bn:00109650a
d004.s002.t026 bn:00033729n
d004.s002.t027 bn:00030627n
d004.s002.t029 bn:00054128n
d004.s002.t030 bn:00088789v
d004.s003.t001 bn:00923812n
d004.s003.t002 bn:13063770n
d004.s004.t001 bn:00923812n
d004.s004.t002 bn:00085499v
d004.s004.t003 bn:00074985n
d004.s004.t004 bn:00096387a
d004.s004.t005 bn:00923812n
d004.s004.t006 bn:00085499v
d004.s004.t009 bn:00033729n
d004.s004.t010 bn:00052222n
d004.s004.t012 bn:00072760n
d004.s004.t013 bn:00046787n
d004.s004.t014 bn:00097846a
d004.s004.t015 bn:27166550v
d004.s005.t002 bn:00052222n
d004.s005.t004 wn:04963771n
d004.s005.t005 bn:00059250n
d004.s005.t006 bn:00060263n
d004.s005.t010 bn:00032604n
d004.s005.t012 bn:00032604n
d004.s005.t013 bn:00088078v
d004.s005.t015 bn:00023645n
d004.s005.t016 bn:00069754n
d004.s005.t017 bn:13601656v
d004.s005.t019 bn:13601970v
d004.s005.t022 bn:00089157v
d004.s005.t023 bn:00089157v
d004.s006.t002 bn:00052222n
d004.s006.t004 bn:00032604n
d004.s006.t006 bn:00051872n
d004.s006.t007 bn:03463336n
d004.s006.t010 bn:00032604n
d004.s006.t011 bn:00108011a
d004.s006.t013 bn:00003057n
d004.s006.t016 bn:00003603n
d004.s006.t017 bn:00923812n
d004.s006.t018 bn:00090663v
d004.s006.t019 bn:27166550v
d004.s007.t001 bn:00923812n
d004.s007.t004 bn:00016401n
d004.s007.t005 bn:00030627n
d004.s007.t006 bn:00083181v
d004.s008.t001 bn:00923812n
d004.s008.t002 bn:00004656n
d004.s008.t003 bn:00004656n
d004.s008.t004 bn:27166550v
d004.s008.t008 wn:02641270v
d004.s008.t010 bn:00083115v
d004.s008.t012 bn:00082787v
d004.s008.t013 bn:00082787v
d004.s009.t002 bn:00015267n
d004.s009.t004 bn:00008467n
d004.s009.t006 bn:00083115v
d004.s009.t008 bn:00083115v
d004.s009.t009 bn:00084069v
d004.s009.t011 bn:00018141n
d004.s009.t013 bn:00054128n
d004.s009.t016 bn:00047235n
d004.s009.t017 bn:00015180n
d004.s009.t018 bn:00082705v
d004.s009.t019 bn:00082705v
d004.s009.t025 bn:00084069v
d004.s009.t026 bn:00083115v
d004.s009.t027 bn:00083181v
d004.s009.t029 bn:00082705v
d004.s009.t030 bn:00083181v
d004.s010.t002 bn:00020872n
d004.s010.t004 bn:00054018n
d004.s010.t005 bn:00111492a
d004.s010.t007 bn:00108011a
d004.s010.t008 bn:00047235n
d004.s010.t009 bn:00113583a
d004.s010.t011 bn:00027011n
d004.s010.t012 bn:00027011n
d004.s010.t013 bn:00108295a
d004.s010.t015 bn:00923812n
d004.s010.t016 bn:13601970v
d004.s010.t018 bn:00047235n
d004.s010.t019 bn:00027565n
d004.s010.t020 bn:00114246r
d004.s010.t021 bn:00082705v
d004.s010.t022 d004.s010.t020
d004.s010.t026 bn:00033729n
d004.s010.t027 bn:00046787n
d004.s010.t031 bn:00033729n
d004.s010.t032 bn:00046787n
d004.s010.t035 bn:00065672n
d004.s010.t037 bn:00052222n
d004.s011.t003 bn:00002178n
d004.s011.t005 bn:00923812n
d004.s011.t006 bn:13601970v
d004.s011.t009 bn:00025419n
d004.s011.t010 bn:00088826v
d004.s012.t001 bn:00923812n
d004.s012.t003 bn:00082291v
d004.s012.t004 bn:00082291v
d004.s013.t001 bn:00923812n
d004.s013.t002 bn:00066514n
d004.s013.t003 bn:02560276n
d004.s013.t012 bn:00075762n
d004.s013.t013 bn:00107232a
d004.s013.t014 bn:00099258a
d004.s013.t015 bn:00082285v
d004.s013.t016 bn:00082285v
d004.s013.t017 bn:00083623v
d004.s013.t018 bn:00083623v
d004.s014.t001 bn:00923812n
d004.s014.t004 bn:00082596v
d004.s014.t005 bn:00082596v
d004.s014.t006 bn:00082596v
d004.s015.t001 bn:00034394n
d004.s015.t002 bn:00098342a
d004.s015.t004 bn:00074790n
d004.s015.t006 bn:00923812n
d004.s015.t009 bn:00015267n
d004.s015.t010 bn:00049551n
d004.s015.t013 bn:00061017n
d004.s015.t014 bn:00004222n
d004.s015.t016 bn:00113583a
d004.s015.t017 bn:00113583a
d004.s015.t019 bn:00110469a
d004.s015.t020 bn:00011771n
d004.s015.t021 bn:00102440a
d004.s015.t024 bn:00003341n
d004.s016.t001 bn:00923812n
d004.s016.t004 bn:00074790n
d004.s016.t006 bn:00009905n
d004.s017.t001 bn:00021961n
d004.s017.t002 bn:00074790n
d004.s017.t003 bn:00083245v
d004.s017.t004 bn:00083245v
d004.s017.t006 bn:00923812n
d004.s017.t007 bn:00102038a
d004.s017.t009 bn:00062717n
d004.s017.t013 bn:00015267n
d004.s017.t015 bn:00054128n
d004.s017.t020 bn:00027565n
d004.s017.t021 bn:00105886a
d004.s017.t024 bn:00015267n
d004.s017.t026 bn:00062717n
d004.s017.t027 bn:00087863v
d004.s017.t028 bn:00087863v
d004.s017.t032 bn:00047235n
d004.s017.t036 bn:00008467n
d004.s017.t038 bn:00027565n
d004.s017.t039 bn:00082812v
d004.s017.t040 bn:00082812v
d004.s018.t001 bn:00047235n
d004.s018.t002 bn:00015267n
d004.s018.t004 bn:00027565n
d004.s018.t007 bn:00046787n
d004.s018.t008 bn:00083347v
d004.s018.t012 bn:00004222n
d004.s018.t013 bn:00027565n
d004.s018.t016 bn:00096151a
d004.s018.t017 bn:00052222n
d004.s018.t026 bn:00114171r
d004.s018.t027 bn:00052222n
d004.s019.t002 bn:00047235n
d004.s019.t003 bn:00035627n
d004.s019.t005 bn:00059954n
d004.s019.t006 bn:00004222n
d004.s019.t007 bn:13601970v
d004.s019.t008 bn:00052222n
d004.s019.t011 bn:00015267n
d004.s019.t012 bn:00082365v
d004.s020.t001 bn:00114246r
d004.s020.t003 bn:00047235n
d004.s020.t004 bn:00027565n
d004.s020.t005 bn:00114234r
d004.s020.t006 bn:27221338v
d004.s020.t007 bn:00115794r
d004.s020.t009 bn:00108011a
d004.s020.t010 bn:00054018n
d004.s020.t011 bn:00111492a
d004.s020.t013 bn:00108011a
d004.s020.t014 bn:00076843n
d004.s020.t015 bn:00113583a
d004.s020.t016 bn:00083181v
d004.s020.t017 bn:00082336v
d004.s020.t022 bn:00016850n
d004.s020.t023 bn:00095360v
d004.s020.t024 bn:00027565n
d004.s020.t025 bn:00082336v
d004.s020.t026 bn:00082336v
d004.s021.t001 bn:00030747n
d004.s021.t002 "bn:00006541n "
d004.s021.t004 bn:00923812n
d004.s021.t005 bn:13063770n
d004.s022.t001 bn:00923812n
d004.s022.t007 bn:00114917r
d004.s022.t009 bn:00028320n
d004.s022.t012 bn:00019848n
d004.s022.t013 bn:00028320n
d004.s022.t014 bn:00082418v
d004.s022.t016 bn:00061605n
d004.s022.t017 bn:00077267n
d004.s022.t018 bn:00101795a
d004.s022.t022 bn:00019848n
d004.s022.t023 bn:00106517a
d004.s022.t024 bn:00022191n
d004.s022.t025 bn:00022191n
d004.s022.t027 bn:00047235n
d004.s022.t029 bn:00082365v
d004.s022.t030 bn:00082365v
d004.s022.t033 bn:00115530r
d004.s022.t034 bn:00095008v
d004.s022.t035 bn:00095008v
d004.s023.t002 bn:00046516n
d004.s023.t004 bn:00054128n
d004.s023.t006 bn:00088826v
d004.s023.t009 bn:00004222n
d004.s023.t013 bn:00042049n
d004.s023.t015 wn:02610777
d004.s024.t001 bn:00923812n
d004.s024.t002 bn:00030747n
d004.s024.t003 bn:00102398a
d004.s024.t006 bn:00044382n
d004.s024.t007 bn:00083187v
d004.s024.t008 bn:00116360r
